id,name,category,description,price,image_url
1,iPhone 14 Pro,Electronics,"Latest Apple smartphone with A16 Bionic chip, 48MP camera system, Dynamic Island, and all-day battery life. Perfect for photography and productivity.",999,https://images.unsplash.com/photo-1592750475338-74b7b21085ab?w=300
2,MacBook Air M2,Electronics,"Thin and light laptop powered by M2 chip. 13.6-inch Liquid Retina display, up to 18 hours battery life. Ideal for students and professionals.",1199,https://images.unsplash.com/photo-1541807084-5c52b6b3adef?w=300
3,AirPods Pro 2nd Gen,Electronics,"Premium wireless earbuds with active noise cancellation, spatial audio, and adaptive transparency. Perfect companion for iPhone users.",249,https://images.unsplash.com/photo-1606220945770-b5b6c2c55bf1?w=300
4,Nike Air Max 270,Footwear,"Comfortable running shoes with Max Air cushioning, breathable mesh upper, and modern design. Great for daily workouts and casual wear.",130,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=300
5,Adidas Ultraboost 22,Footwear,"High-performance running shoes with responsive Boost midsole, Primeknit upper, and Continental rubber outsole for superior grip.",180,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=300
6,Levi's 501 Original Jeans,Clothing,"Classic straight-fit jeans made from 100% cotton denim. Timeless design that never goes out of style. Available in multiple washes.",59,https://images.unsplash.com/photo-1542272604-787c3835535d?w=300
7,H&M Cotton T-Shirt,Clothing,"Soft cotton t-shirt in various colors. Comfortable fit for everyday wear. Sustainable fashion choice with organic cotton blend.",12,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=300
8,The Great Gatsby Book,Books,"F. Scott Fitzgerald's masterpiece about the Jazz Age. A timeless classic exploring themes of wealth, love, and the American Dream.",15,https://images.unsplash.com/photo-1544947950-fa07a98d237f?w=300
9,Python Programming Book,Books,"Comprehensive guide to Python programming for beginners and intermediate developers. Covers data structures, algorithms, and real-world projects.",45,https://images.unsplash.com/photo-1515879218367-8466d910aaa4?w=300
10,Yoga Mat Premium,Sports,"High-quality yoga mat with non-slip surface, extra thickness for comfort, and eco-friendly materials. Perfect for home workouts and studio classes.",35,https://images.unsplash.com/photo-1544367567-0f2fcb009e0b?w=300
11,Dumbbells Set 20kg,Sports,"Adjustable dumbbell set with rubber coating. Space-saving design for home gym setup. Great for strength training and muscle building.",89,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=300
12,Samsung Galaxy S23,Electronics,"Android flagship smartphone with advanced camera system, fast processor, and long-lasting battery. Excellent alternative to iPhone.",899,https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?w=300
13,Sony WH-1000XM4 Headphones,Electronics,"Premium over-ear headphones with industry-leading noise cancellation, 30-hour battery life, and exceptional sound quality.",299,https://images.unsplash.com/photo-1484704849700-f032a568e944?w=300
14,Canon EOS R6,Electronics,"Professional mirrorless camera with 20MP sensor, 4K video recording, and advanced autofocus system. Perfect for photography enthusiasts.",2499,https://images.unsplash.com/photo-1606983340126-99ab4feaa64a?w=300
15,Converse Chuck Taylor,Footwear,"Classic canvas sneakers with rubber toe cap and vulcanized sole. Iconic design that pairs well with any casual outfit.",55,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=300
16,Zara Blazer,Clothing,"Elegant blazer suitable for business meetings and formal events. Tailored fit with quality fabric and modern styling.",89,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?w=300
17,Kindle Paperwhite,Electronics,"E-reader with high-resolution display, adjustable warm light, and weeks of battery life. Perfect for book lovers who travel.",139,https://images.unsplash.com/photo-1592496431122-2349e0fbc666?w=300
18,Atomic Habits Book,Books,"James Clear's bestselling guide to building good habits and breaking bad ones. Practical strategies for personal development.",18,https://images.unsplash.com/photo-1589829085413-56de8ae18c73?w=300
19,Resistance Bands Set,Sports,"Versatile exercise bands for full-body workouts. Includes multiple resistance levels and door anchor. Great for travel workouts.",25,https://images.unsplash.com/photo-1598300042247-d088f8ab3a91?w=300
20,Instant Pot Duo,Home,"Multi-functional pressure cooker that replaces 7 kitchen appliances. Perfect for quick, healthy meals and meal prep.",99,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=300
21,Dyson V11 Vacuum,Home,"Cordless vacuum cleaner with powerful suction, intelligent cleaning modes, and up to 60 minutes runtime. Makes cleaning effortless.",599,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=300
22,KitchenAid Stand Mixer,Home,"Professional-grade stand mixer for baking enthusiasts. Multiple attachments available for various cooking tasks.",379,https://images.unsplash.com/photo-1556909114-4f6e8cfd3e9d?w=300
23,Patagonia Fleece Jacket,Clothing,"Warm and lightweight fleece jacket made from recycled materials. Perfect for outdoor activities and layering.",149,https://images.unsplash.com/photo-1551698618-1dfe5d97d256?w=300
24,Ray-Ban Aviator Sunglasses,Accessories,"Classic aviator sunglasses with UV protection and durable frame. Timeless style that suits most face shapes.",154,https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=300
25,Apple Watch Series 8,Electronics,"Advanced smartwatch with health monitoring, fitness tracking, and seamless iPhone integration. Perfect for active lifestyles.",399,https://images.unsplash.com/photo-1434493789847-2f02dc6ca35d?w=300
